Clean Comment,True Label,Predicted Label
bandung cimahi bener pis mun seug jaman anis nga beredel cing jorowok toa ge eleh,neutral,neutral
uang uang uang uang,neutral,neutral
uda bayar pajak kendara jalan bayar simpan uang hasil minim,neutral,neutral
utang kemacetab tambah kaya,negative,neutral
sok bijak,negative,negative
mcm fasilitas udh nyaman dipake aja nyet,negative,positive
bayar bpjs gaji ttp hasile bayar aja anak istri kasi makan tong bela rakyat miskin kurang kemiskinana gana tong,negative,negative
bayar plat hitam plat putih gratis,neutral,negative
dapat pribadi mending atur diterapin mobil jakarta banget mobil kapasitas tumpang isi percaya coba aja renti menit aja jalan jakarta hitung rata mobil dua bener bikin macet jalan motor tuju kalang motor kalang dimensi motor begitu makan jalan bawa kadang arogan tinggal tilang cabut sim kaya negeri,negative,negative
aj aja dsru bayar udh kya palak preman jln aja asem bnr gmn maju negara klo byr ngurangi macet kya bgtu kya kga aja pjabat gmn pikir kga pikir,negative,negative
hasil lumayan dokorup,neutral,neutral
asiii iii ii ik,neutral,neutral
mekanisme gimana kaya ojol opang kurir,neutral,neutral
kalimalang,neutral,neutral
jalan preman jalan umum suruh bayar,neutral,neutral
ea liat,neutral,neutral
gilaaa bayaarr trus bayar pajak fasilitas tetep bayar udara bayaaarrr,neutral,neutral
nunggu titik napas aja bayar jakarta,negative,neutral
pegawai perintah pikir uang mumet tinggal,negative,neutral
gin wakanda pinter banget klo ras rakyat pake produk rancang,neutral,neutral
rakyat pajak hari tahun ruas jalan tinggi biaya bensin motor kagak rakyat jelata dipajakin bro,neutral,neutral
jalan suruh bayar kemaren ngerasain target pajak mobil jabat ganti timbang gorden aja anggar segitu urat malu ilang,neutral,negative
jalan kaki bayar,neutral,neutral
melarat bgt indonesia,neutral,negative
oiya masuk apbd jakarta yamudahan aja kantong tikus nackal aja,negative,negative
iya bnr gila bgt hdp jkt blm macet blm banjir blm warga jutek mau hebat tahan jkt,negative,negative
banyak armada transjakarta,negative,positive
zhar fakta emg anis usul bilang jelekin otak dmn bohong gitu biar neng emgnya pacar wkkwwkwkwk,negative,negative
vinoo jakarta udah makan hari point utama aja udah jawab transjakarta telat sesuai jadwal faktor utama macet udah bantah point mudah transportasi umum ojol bebas erp catat syarat sendiri,negative,negative
serentak bayar aja,neutral,neutral
republik sulap,neutral,neutral
tp sbnrnya pajak progresif dn loh ngitungnya by name tp kartu keluarga klo emak anak motor nama otomats motor pajak dst bhkan pjak pph thun,neutral,neutral
mala bkn bijak,negative,negative
contoh pusat usaha batas mesti rata karna pusat usaha office auto jakarta karna usaha karyawan puluh ribu usaha mesti ambil karyawan lingkup daerah pusat gak menuhin jalan konsen,negative,neutral
okesiap jalan bolak betis bengkak,neutral,negative
pajak hasil pajak kendara motor skr pakai jalan dipajakin jalan aja byk rusak bro dishub pasu,neutral,negative
ni psi waktu sila,negative,neutral
sribu kendara lintas aja untung jalan baik pajak ngga modal sbnernya uang,negative,negative
bayar gmn,neutral,neutral
bilang aj gak duit rakyat peras,neutral,neutral
tu tau,neutral,neutral
tuju jakarta bayar pajak jalan biar sehat irit polusi kurang mahalin jakarta,negative,negative
solusi remote,negative,negative
mantap bagus mobil duluan motor susul tolong perintah duit dipake nambah fasilitas transportasi umum dipake studi banding eropa,negative,neutral
oohh biar rakyat beli mtr listrik,negative,neutral
uang kumpul kemanain bayar hutang negara dana hibah,neutral,negative
daftar ojol doang narik bebas liar,neutral,negative
tutorial hancur negri manusia pribumi,neutral,negative
ojol gimana tu mondar mandir,neutral,neutral
pajak gitu,neutral,neutral
jajah,neutral,neutral
yaudah bayar pajak mending bayar erp aja pas tilang alesan pajak mati bayar erp,neutral,negative
syulit hidup dijakarta,neutral,negative
pake krl,neutral,neutral
mua pajekin,neutral,neutral
akun joki gimana nasib,neutral,neutral
ujung korupsi,negative,negative
goodiebag mbak bedain tambah panjang jalur trotoar gubernur pkl mbak maaf skrg tambah parkir motor mobil gak pohon jalan kaki trotoar,neutral,negative
bayar parkir aja pikir pikir jalan musti bayar,neutral,neutral
duit alih fasilitas publik armada transportasi umum baik jalan arah colong rupiah pasti iya aja sosialisasi transparansi,negative,negative
fungsi bayar pajak kendara bayar pbb bayar pajak pph pajakin rakyat duduk manis,neutral,positive
mari bisnis rakyat,neutral,neutral
pikir hancur negara emng fasilitas allah emngny jalan aspal trotoar bikin allah perintah bikin duit pajak tolong lahhh pikir rasional,neutral,negative
tarif tp parah tinggal jalan contoh panglima polim rumah bayar,negative,negative
charm jl fatmawati gage bayar,negative,neutral
korupsi hukum tahun doang gak hukum mati korupsi aman tinggal suap kanan kiri hidup hotel dehhh,negative,negative
au,neutral,neutral
uang mana,neutral,neutral
niru negara maju ngurangi macet tp transportasi umum bagus negara maju ngimpi alas aja ngurangi macet bilang aja butuh duit emang bayar pajak kendara uang lari bangun minta uang,negative,negative
salah anies,negative,negative
nambah beban rakyat aja dih,negative,negative
realisasi boikot bayar pajak kendara,neutral,neutral
bener din gitu bayar pajak teh taun naha kitu lieur wae,neutral,neutral
pajak kendara ilang,neutral,neutral
bayar bayar bayar,neutral,neutral
pas gage jalan fatmawati macet macet sudirman thamrin aja macet,negative,negative
danish bensin ayo transportasi umum,negative,positive
alias jamarabo gerat ngencing sembarang po on,neutral,neutral
ojek online min serius,neutral,negative
penuh sesakkk transportasi umum gamampu lewat jalan bayar kaji ulang solusi jadi,negative,negative
koalisi neh nama aja bau ilmu politik cabut dahhh independen admin,neutral,negative
tol ajj udah pake sistem erp ajj tetep macet,negative,negative
rakyat sejahtera haris bayar jalan bayar kencing bayar bab bayar mandi baya bayar keluh,neutral,neutral
cosplay ojol,neutral,neutral
yuk pindah bsd yuk hihi,neutral,neutral
auto cuan sekian detik mao bawa mati neh cuan,neutral,negative
semerawut kayak,neutral,neutral
produsen asphalt emulsion bayar jalan fasilitas umum,negative,neutral
gampang bener nyiksa tinggal bikin atur bayar beres dana segar hari bancak suka nyusahin rakyat suruh bayar aneh,neutral,negative
indonesia mkn krisis,negative,negative
nasib ojek online gimana bolak anter tumpang udah tarif rendah tambah bayar kasi,neutral,negative
tambah parkir aja bedebat ama cs gimana tambah goceng sulit,neutral,negative
angkut umum banyak bagus lupa jangkau plosok fasilitas bagus bikin tarik pejal kaki betah,negative,negative
parkir mahal bbm mahal jalan tol mahal skrg jalan non tol bayar numpuk lha jalan alternatif rakyat kreatif innovatif kejefit,neutral,negative
benerr ndan wk,neutral,neutral
karepmu rakyat nurut kayak salur tv taux gak gitu aja tv wajib pake stb,neutral,neutral
beb,neutral,neutral
wkwkwkwk modarooo,neutral,neutral
hore lwat jalan bayar berat pajak kendara hilang,neutral,neutral
pemda kurang apbd,negative,negative
duit rakyat peres,neutral,neutral
tuju,neutral,neutral
baraja salary averages for year singapore average salary cashier sgd copywriter sgd financial analyst sgd graphic designer sgd mobile developer sgd product manager sgd receptionist sgd software engineer sgd teacher sgd web developer sgd living cost single person month sgdsingle person year sgd university student year sgd person family month sgd person family year sgd,neutral,neutral
bego,negative,negative
pinter bgt perintah impor motor mobil aja digencarin jalan suruh bayar,neutral,neutral
protess besar ojol tarif minimum jarak lewatin titik jalan bebayar posisi muter uang parkir resto gedung kadang cs kasih parkir rb parkir nasih cilik,neutral,negative
klo dki macet jalan satu stop produksi kendara import buat lokal gimana macet tahun tambah truss kendara produk keluar baru batas produksi kendara baru rakyat bikin sengsara mngkn tahun atur nikmat matahari wilayah jakarta pajak biar runyam,negative,negative
bayar trus heru keren,neutral,positive
terima kasih tua gak kalah edukasi terima kasih perintah australia tahun ambil klo bilang kalah edukasi kayak nggak kalah debat alumni salah fakultas hukum baik indonesia debat makan minum,negative,negative
solusi kurang macet timbul benih kapitalis cenderung arah kkn,negative,negative
bego,negative,negative
nilai fantastis min duit mo dgunain tuju nambh ksmpatan korupsi aja lagipula kmana duit hasil masyarakat bayar pajak gunain jalan aja kudu bayar stuju krna slalu bayar pajak kga telat,neutral,neutral
sisa bayar pajak tahun ganti ban mobil pikir tahun trus awat mobil,neutral,neutral
ah elo emang arah kesana pas sanggah pura gak nyalahin coba nyalahin anies nulisnya,neutral,neutral
klo uang bangun hemmm banyakin istri banyakin deposit pribadi aje yeee,negative,neutral
mt haryono,neutral,neutral
ahir jalan jdi go grend,neutral,neutral
nugroho anying bawang merah ngab,neutral,neutral
malak,neutral,neutral
bayar sana bayar mana pake bayar you sing you lose,neutral,neutral
rusak pancasila adil rakyat indonesia rezim,negative,negative
duit pajak duit erp,neutral,neutral
moga transportasi gratis,negative,positive
jakartabarat udah susah bikin susah,negative,negative
klo taun aja kompak bayar pajak gmn nasib pegang kuasa wilayah,neutral,negative
usaha sesuai kendara pribadi kendara umum kendara logistik beda,negative,negative
bijak pro kontra udah kadang mikir atur tsb aja atur gin udah timbang mateng mateng dalam kena tarif sesuai jenis kendara kadang heran warga indo ken terima beres korban liat pantau aja emang rencana,negative,negative
macet ganti gang,negative,negative
creative store sudirman dkt ratu plaza alat erp uji coba,neutral,neutral
ajisantoso respect,neutral,neutral
maksa bgt nyari pasu udah cekik tekor th kah smpk hbs saldo apbd,neutral,neutral
tinggal ibukota negara hutang tumpuk jalan duit rakyat bayar pajak udah suruh bayar bayar pajak jalan umum bayar pejal kaki guna sepeda pajakin,neutral,negative
andai jln sudirman bandung jakarta bebas dagang pasar sampah buang tumpuk dimlm hri dijln sudirman bandung seblm belok jln jamika andai,negative,negative
uang miliar liat duit cepe aja udah gelap,neutral,negative
bayar ok biaya stnk tahun turun,neutral,positive
zeehahaha merdeka,neutral,neutral
laku jalan bayar karna kendara bejubel terap kurang macet fokus aja sampe gak kelar sikat akar batas produksi kendara bicara regulasi,negative,negative
kuda ja,neutral,neutral
situ bahas trotoar makan opini negatif sengaja dibesarin situ cerna opini liar edar eaaa situ nampakin sisi benci gub dki lucu ajah pake curcol banggain alumni hukum baik negri peduli jalur krl brp skrng brp beda klw brrti tambah sdng wacana tambah jalur stlh alih stasiun manggarai kelar emm nama bkn trus benah publik transport,neutral,neutral
macet jual kendara subsidi angkut umum rata piye,negative,negative
ngk tuju,neutral,neutral
ojek pangkal gimana,neutral,neutral
tikus suka kayak gin,negative,negative
agenda korupsi baruuncul,negative,negative
zhar eksekusi tuju uda disetujuin otomatis jalan uda perda bo doh bgt tau perda go blok bgt serah aja cuk kaum kaya emg lot otak hiduplu ubah uda to lol ngeyel serah aja gmn enak wkwkwkwkw,neutral,positive
arya korupsi nama rakyat,negative,negative
knp tuju ama anis uda cabut uda suruh disetujuin anis otak dmn,neutral,neutral
guna bayar pajak kendara sewa jalan negara meterialistisnya perintah,neutral,neutral
sistem yaa,neutral,neutral
liat jabat perut buncit,neutral,neutral
emng jalan nenek moyang,negative,negative
baik fasilitas armada angkut banyak ada armada mini bus sampe macro bus,negative,neutral
demo batalin coba ajaa atur tp nyusahin laen,neutral,neutral
tanah air bayar,neutral,neutral
udah bayar pajak loh pajak gimana tugas wajib atur jalan uang jalan gimana emang niat banget pakai ruas jalan bayar minimal dana biar asa guna jalan syarat muncul mindset yaudahlah bayar aja lanjut gitu aja,neutral,neutral
gak cocok kurir paket upah bayar jalan ne rb tombok,neutral,negative
tuju stop jual kendara jakarta logika macet tambah kendara biar kendara nikmat daerah,negative,negative
ganjil genap,negative,negative
daerah erp,negative,neutral
tuju raperda tsb rakyat berat jalan tsb investasi dishub sungguh investasi jalan tsb jadi jalan bayar untuk jalan umum,negative,negative
ulhaque muja mantan narapidana emang tu komentar muja mantan narapidana,neutral,neutral
gila gila bayar kontribusi,negative,negative
cahyo yoiii kaya jaman soeharto,neutral,neutral
nggak bener indonesia,neutral,neutral
buru kelar ibukota jakarta mulu cecer muak,neutral,neutral
depok bikin,negative,neutral
iya perintah tenang duit,neutral,neutral
batas macet contoh rokok lebeli rokok bunuh mu gambar tetep aja ngerokok naik larang beli keteng tetep aja bnyak ngerokok pintar pintar jabat negri ajar efektif coba benah fasilitas umum transportasi cek lapang sperti data brapa angkut umum sedia data kampanye pilpres pilgub aja kampanye,negative,positive
ayukk jkt demo hidup berat jalan sj hrs bayar kekk bayar preman resmi,neutral,negative
pj kecewa warga jakarta hilang sempat gubernur sungguh dipilkada,negative,negative
iya macet tumpahin jalan alternatif warga,negative,negative
when toxic solution trying to solve toxic situation,neutral,neutral
jalan pajak rakyat ny milik rakyat rakyat suruh bayar,neutral,neutral
fungsi bayar pajak,neutral,neutral
daftar gojek pakai plat nomor kendara stnk sim skck daftar,neutral,neutral
pantes dapat negara tingkat pesat rakyat susah tanah bijak bijak manuk akal pakk,negative,negative
sebenernya urai macet gampang tarif parkir aja mahalin tp kendara pribadi oh iya gin pemprov cuan,negative,negative
aja erp timbal balik kendara umum gratis,negative,negative
and,neutral,neutral
bikin kantong parkir buanyak jalur tj mrt guna motor sebenernya ken mrt tj gitu jalan kesana bingung ojol halte jatuh mahaal kantong parkir umum kendara pribadi jalan transit gituu,negative,negative
ahh telek,neutral,neutral
serius nanya motor,negative,negative
cashback,neutral,neutral
rakyat jarah negara,negative,neutral
gimana gaji pas pas lintas jalan,neutral,neutral
udah izin bom min nyomot gambar,neutral,neutral
wkwkkwkw gbsa jln gabut gratis,negative,negative
jalan umum suruh bayar,neutral,neutral
peres rakyat neraka jahanam ganjar ide bikin susah rakyat aneh byr pajak bangun jln raya dlsb suruh bayar klo lintas ngak akal sehat,negative,negative
tuju buang sampah sembarang denda,neutral,negative
perlahan usir,neutral,neutral
bnr pake mobil jam biar mobil ngak macet motor macet msh jalan ngak biar rata panas ujan gin ber ac teriak,negative,negative
udeh liat bun antri pas krl busway teman kayak dibenerin transportasi umum dibanyakin jadwal transportasi waktu toilet halte bersih populasi manusia berangkat sekolah mahasiswa kerja padat antre kayak sembako ular catat sampe uang pungut korupsi korupsi kebiri pecut dor,negative,negative
gimana nasib ojol jalan bayar gin,neutral,neutral
gaji pajak beli motor pajak sampe jalan kena pajak nafas pajak,neutral,neutral
proyek kolonial belanda iyah udh jakarta ubah batavia,neutral,neutral
sumpah aneh,negative,negative
tj btul,negative,neutral
rakyat bayar macet jalan kurang motor mobil negara rakyat dampak hadeh,negative,negative
halah emak emang kah dikit rakyat trus peras,neutral,neutral
susah ojol doang aja erp,negative,negative
achmad maap maap salah,negative,negative
gila birokrasi negara kasi ojek online nyari duit jalan kadang diduitin jalan pajak rakyat,neutral,negative
gun pajak,neutral,neutral
jalan provinsi klo gmn aing pulkam naek motor klo musti dipalakin situ wkwkwkwkw,neutral,neutral
koruptor neng neh,negative,negative
megalihkan titik macet efek hindar erp minimal study negara nerapin erp diskusi buka ahli masyarakat,negative,negative
gak keren solusi klo ujung bayar,negative,neutral
raymond tuju nihh kak bgt karna kota daerah deket jugak,negative,neutral
gasss bayar bayar biar utang asik asik rumah bayar,neutral,neutral
klo mcet jln tol pp,negative,neutral
perna angkut umum jam pulang blg,negative,neutral
bisa nyari proyek,neutral,negative
warga jkt titip suara demokrasi gerombol banteng maling bansos bukti licik,neutral,negative
tumben ni mahasiswa demo,neutral,neutral
hidup pas bro hidup sengsara jkt metromini lebak senen desek ama tumpang jam pulang krl skrng klo protes transjakarta jalur mas ditrobos klo beli motor bray bikin macet jkt polusi asap suara klo beli gengsi klo cari rejeki ud dairing online memfasilitasikan kerja online berat usaha kerjasama ama pemda kait lewat jalan biaya tambah klo kantor biruh angkut umum kurang macet polusi udara suara klo angkot aman protes pemda kait,negative,negative
nggak sepeda motor,neutral,neutral
udeh miskin tmbh miskin,negative,negative
tutorial siksa warga,negative,neutral
tau atur rapatin drpd jakarta laksana tahun kapan bener tahun sesuai pas lrt jabodebek pakai umum,neutral,positive
iya uda pindah ikn aja luas sana,neutral,neutral
tolaaak,neutral,neutral
ide survey,neutral,neutral
rampok rakyat milyar pajak,neutral,negative
rakyak sapi perah solusi opsi meminimalisir macet coba siap parkir luas naik biaya parkir alih transportasi public,negative,neutral
pay to,neutral,neutral
emak oh emak mati,neutral,negative
parah daendels soeharto jaman nabi musa,negative,negative
hadeeeh beras telor minyak beli cabe mahal negri palak hasil banyak utang rakyat peras moga gd pimpin dzolim depan,neutral,negative
denger transportasi umum naikin tarif nyaa,negative,neutral
kadang lapor sekneg lapor presiden dunia jabat negara minum air asin minum haus,neutral,negative
kaya banyak hutang meres rakyat,negative,negative
hadoh,neutral,neutral
bijak kadrun aneh aja,negative,neutral
besok daftar ojol aja biar gratis,neutral,negative
pajak kendara kuta bayar buang angin harua bayar,neutral,neutral
iye akun belah isi nuntut perintah mulu,neutral,negative
negara bisnis rakyat tolak lupa keluar statement tsb,negative,negative
kendara batas suruh bayar pinter banget cari cuan,neutral,neutral
jabat gratis,negative,negative
sabar bentar catetin ajah partai jabat gak penting rakyat warga bales pilih partai jabat biar keok,negative,positive
receh,neutral,neutral
terap kurang macet tinggal naik pajak mobil bangun mrt lrt pesat penjuru kota bangun gedung tinggi parkir kendara sudut kota henti stasiun kereta mrt lrt krl,negative,negative
nyusahin rakyat,neutral,neutral
is dinn gak kayak gitu bro dampak mana,neutral,neutral
sebenernya dukung perintah kota jakarta warga loh antusiasme warga transportasi umum infrastruktur dukung tingkat kualitas mrt lrt udah saing unggul negara tetangga banyak fasilitas umum sepert taman ruang buka hijau dll aja warga udah aja ngerusak fasilitas,negative,positive
mikir positif aj bijak perintah biar dampak positif ngulang macet meminimalisir abang grabcar gocar ambil order nyicil jual tu mobil berat bayar marebo trus perintah solusi angkot mrt atas tumpu tumpang tepat tambah armada kapasitas tampung tumpang macet liat aja depan,negative,negative
ig suka suka,negative,positive
zameena iya filter beli mudah beli mobil motor lahan parkir mesti disikapin,negative,negative
masalhnya bayar uang jlebbb trus bnyak jalan macet karna saking bayar,negative,negative
aja puter otak cari cuan rakyat pajak,neutral,neutral
hebat gebrak pj gubernur eluh eluhkan bravo,neutral,positive
lawan hidup goverment konoha,neutral,negative
uji coba kacau timbul,negative,negative
zhar brt suruh makan ta makan cek erp jalan tong anis munculin usulin kampung to lol bgt,negative,positive
cohok,neutral,neutral
jabat gubernur dki legitimate bikin susah rakyat masyarakat dki sadar diri pilih warga dki,negative,negative
knsepnya rakyat hrs by pajak mcm biar hdp jabat teruus,negative,neutral
mobil jabat bayar ngga,negative,neutral
emang tau darimana ojol,neutral,neutral
banget produsen otomotif target jual kendara jakarta prodak promo bikin giur beli kendara,negative,neutral
nama jabat give away mumpung kasih sempat raup,neutral,negative
alternatif dipikirij bos,neutral,neutral
sebenernya pusat usaha batas milik kuota karyawan pusat situ mesti rata karna pusat usaha office auto jakarta karna usaha karyawan puluh ribu usaha mesti ambil karyawan lingkup daerah tsb pusat gak menuhin jalan daerah situ konsen,negative,neutral
ngeksekusi gimana berani kritik,negative,negative
tuju bgt pdhl ngajuin raperda pas tahun gak salah pas jaman anis loh knapa hadeh,neutral,negative
banjir aja beres gimana kendara publicnya,neutral,neutral
ngga papa bayar transportasi umum nyaman singapore or tokyo ikn duit dki,negative,negative
min,neutral,neutral
wkkwwk makann periode,negative,neutral
emang erp udah payung hukum,negative,neutral
doooiittt molooo setan,neutral,negative
bangun jalur sepeda nyaman teduh warga bawa kendara pribadi angkut umum rute jalan jam aya aya wae bangun jalan pajak rakyat eee rakyat suruh bayar jalan,negative,negative
jalan pajak rakyat hrs byr wkwkwkwkw,negative,neutral
belanja ppn make kendara pajak rumah tinggal pbb,neutral,neutral
bagus surabaya medan hrs ikut transportasi massal gak jkt daerah msh kedodoran gmn pemkot,negative,negative
nama diskusi bawa wacana bawa data gimana cari diskusi jatuh,negative,negative
jdi duit napa laper,neutral,neutral
bayar trus minat erp tinggi macet,negative,negative
teknis gmn dipikirin,neutral,neutral
bayar via om,neutral,neutral
kekuataaan uang rakyat,negative,neutral
emng erp jenis kendara klo kendara online mas operator mou dishub pemda kait skrng blm erp ubah pandang salah min rubah pola pikir penting lingkung,negative,negative
mikir bijak byr uang,negative,negative
utang negara bet kak,negative,neutral
elhafiz ojol taksi gimana raka cari uang tolol pake uang pajak anggar anggar dikemanain,neutral,negative
nama macet macet jam sibuk libur anak sekolah jalan lancar sepi in macet ganti pola genap ganjil macet terap bayar tutup macet parah antri unfuk bayar tambah beban masyarakat motor kena erp kasihan tukang ojol cari tumpang susah,negative,negative
duit colongin jabat najisss cuihhh,neutral,neutral
solusi bgus mobil motor pribadi ttp jual tambah pasu,negative,positive
kuduna sarua bandung ge amih teu macet,negative,negative
tpi rakyat duit,negative,neutral
voc kompeni era millenium,neutral,neutral
jembatan bayar,neutral,neutral
gagal perintah kota selesai ujung rakyat sengsara perintah bisnis rakyat,negative,negative
tol,neutral,neutral
perasss trssoosss,neutral,neutral
darm hubung atas tulis hlo program pemprov dki uang apbd dki gak bayar utang negara,neutral,neutral
ngikutin singapore,negative,neutral
gak tuju bro terap erp komentarin kalimat bilang periode habis bilang pakde proyek pusat anis udah abis habis atur jabat dki,neutral,negative
tutup aja pabrik mobil,negative,neutral
tuhan cipta sglnya unt manusia gratis jln aja suruh bayar,neutral,negative
chacan udaaa pindah kebon nanas ajaaa,neutral,neutral
pancasila lambang garuda,neutral,neutral
gubernur boneka gubernur manusia,neutral,negative
maju paksa gaji umr habis jalan aja klo maju rakyat ny peras jabat perintah mang kuasa amanah contoh rakyat,negative,negative
tuju,neutral,neutral
klo upin ipin bilang,neutral,neutral
contoh otak dengkul gin,negative,neutral
stupidest idea in the world,neutral,neutral
ogah nyoblos caleg am capres gak ad benerr,neutral,neutral
ojol gmna anying,neutral,neutral
uang pajak rakyat mana mash kah sengsara rakyat,neutral,negative
sulit coba timbang ambil putus atur rakyat layan sulit,negative,negative
tol bayar aja macet kata klo negara butuh duit bilang aja rakyat blg negara,negative,negative
wkkwk positif aja bu bentar kampanye,neutral,positive
gimana angkut umum renti jalan pke ojek klo jalan trotoar ajh susah ditutupin umkm blm trotoar benah emng bener udh berantas mafia biar salur dana sesuai resah bayar pajak rutin tpi fasilitas rata berita korupsi mana tahu msh lgi tahu,negative,negative
oiya,negative,neutral
ngapain pakai erp bayar pajak kendara jakarta bkn jakarta tp jabotabek jalan jkrta transportasi umum udh ancur benah nunggu klo telat kantor gaji potong gaji habis bayar erp doank,negative,negative
bayangin bayar ngantri jalan tol bayar aja udh macet klo bayar congratsss,negative,negative
nggak,neutral,neutral
nambah beban masyarakat erp imbas turun hasil kemudi online minat turun konsumen ojol pindah moda transportasi umum bikin susah jalan kaki,negative,negative
naikin harga mobil motor aja gasih ngapain bayar jalan gin we paid for them with our taxes and now suruh bayar lol pemda dki is fucking joke since that dimwit pangkat,neutral,neutral
oalah pungli luas,negative,negative
jalan aja bayar,neutral,neutral
jakarta ribett,negative,neutral
tahu kentut sembarang tarif akibat dampak hutang roket rakyat imbas nafas tarif,neutral,negative
cari jalan macet gratis,negative,negative
anker aja kayak akuu,neutral,neutral
mainset indonesia jepang sana muda indonesia sdm beda butuh beda hasil beda samasamai jepang butuh ribu tahun oknum tumbuh silih ganti mati tumbuh sarebu ladang lahan jemaah rakyat susah bin ribet jemaah,negative,negative
bandung cimahi hahaha benerr yaa alhamdulillah ahh,neutral,negative
menyelsaikan mslh masslaha,neutral,neutral
tuju dapat dapat minim maksain gaya sesuai porsi aja,negative,positive
topik rusa sisi hubung karakter warga serba gampang sekali kasih fasilitas dukung rusak gitu liat sisi negatif warga sebenernya aja perintah cermin rakyat wkwkwkwk,negative,neutral
bbm mahal pajak pajak pajak,neutral,negative
tuju syarat celaka lecet kompensasi milyar,neutral,negative
gila bangun pake duit rakyat rakyat bayar,negative,negative
saran laku dekat cekik masyarakat,negative,neutral
krl udah nyakitin kondisi manggarai erp,negative,neutral
nambah pajak nambah miskin,negative,negative
wacana cabut aja usul balai kota berita wacana cabut dijalanin gmn cabut tp usulin wkwkwkwk cabut aja bulu idung,negative,neutral
rakyat tin rakyat madih bom puas siksa rakyat abis covid naik smg sehat umur rejeki aamiin allah rasulullah doa smg diijabah allah swt,neutral,neutral
kasi ojol demo,neutral,neutral
bilang ngusulin anies nyebut gub sutiyoso fair tuan pintar,neutral,negative
ddiiihh,neutral,neutral
bacotin perintah tp kayak gt bnerin kadang nunggu tranpostasi umum aja jga bro bayar aja udh rame bnget bayar wkwkwkkwk,neutral,neutral
jabat bln udah bikin gebrak emang mantap gubernur dki skrg,negative,positive
